,MCC_SCORE,AUC_SCORE,ACC_SCORE
DecisionTreeClassifier | 43305372 ,0.1930756051947742,0.7421505376344086,0.5984999999999999
DecisionTreeClassifier | 45845281 ,0.1930756051947742,0.7421505376344086,0.5984999999999999
DecisionTreeClassifier | 99327447 ,0.1930756051947742,0.7421505376344086,0.5984999999999999
DecisionTreeClassifier | 46914623 ,0.1930756051947742,0.7421505376344086,0.5984999999999999
DecisionTreeClassifier | 53188125 ,0.1930756051947742,0.7421505376344086,0.5984999999999999
KNeighborsClassifier | 43305372 ,0.1903976850806848,0.8104301075268816,0.7229444444444444
KNeighborsClassifier | 45845281 ,0.1903976850806848,0.8104301075268816,0.7229444444444444
KNeighborsClassifier | 99327447 ,0.1903976850806848,0.8104301075268816,0.7229444444444444
KNeighborsClassifier | 46914623 ,0.1903976850806848,0.8104301075268816,0.7229444444444444
KNeighborsClassifier | 53188125 ,0.1903976850806848,0.8104301075268816,0.7229444444444444
SVC | 43305372 ,0.3083054911040747,0.813978494623656,0.7775722222222222
SVC | 45845281 ,0.3083054911040747,0.813978494623656,0.7775722222222222
SVC | 99327447 ,0.3083054911040747,0.813978494623656,0.7775722222222222
SVC | 46914623 ,0.3083054911040747,0.813978494623656,0.7775722222222222
SVC | 53188125 ,0.3083054911040747,0.813978494623656,0.7775722222222222
LogisticRegression | 43305372 ,0.2522248723922478,0.8138709677419355,0.7967500000000001
LogisticRegression | 45845281 ,0.2522248723922478,0.8138709677419355,0.7967500000000001
LogisticRegression | 99327447 ,0.2522248723922478,0.8138709677419355,0.7967500000000001
LogisticRegression | 46914623 ,0.2522248723922478,0.8138709677419355,0.7967500000000001
LogisticRegression | 53188125 ,0.2522248723922478,0.8138709677419355,0.7967500000000001
